Respondent ,Gender ,Education ,Occupation ,Age ,Online shopping frequency ( self perception ),I prefer online shopping because it is time saving ,I prefer online shopping because it leads to less direct face to face interaction ,I prefer online shopping of convenience of delivery and online checking ,I prefer online shopping because availability of a variety of Goods ,I prefer online shopping because there is no hassle of parking ,I prefer online shopping because there is easy exchange or return of goods process available ,I prefer e shopping because there is customer help available easily ,I like the promotional effect of e shopping ,I like various interactive features on e commerce website  ,I prefer online shopping because of great after purchase care policy ,I prefer the online shopping because easy navigation of website and discovering new products easily ,I prefer online shopping because it is very cost effective  ,I prefer online shopping because I am easily able to compare prices ,"I prefer online shopping because it may take care of additional cost of software , house installations and other related costs of purchasing  such as transport",I prefer online shopping because of nominal delivery fees,I prefer online shopping because it makes me look cool and modern ,I prefer online shopping people give good feedback,I prefer online shopping because it gives me reason to bond with other people ,I prefer online shopping because it helps me quarantine during COVID ,I prefer online shopping because it helps me follow WHO Guideline to ,COVID has prompted me buy new stuff online ,Govt Guidelines during COVID has prompted online shopping  ,COVID has substantially increased my online frequency   ,"During COVID , my experience of online sopping has improved substantially ","During COVID , my online shopping expenditure has increased considerably ",I like buying online to feel happy ( online retail therapy)
Customer 298,Female,Under Graduate,Professionally employed,19-29,Regularly,3,4,4,5,2,4,4,3,4,2,5,5,5,3,4,5,3,4,4,4,5,5,5,5,5,5
Customer 299,Male,Under Graduate,Student,19-29,Regularly,4,3,4,5,3,4,4,3,2,2,3,4,5,3,2,1,3,1,2,2,5,5,4,4,4,1
Customer 300,Female,Under Graduate,Housewife,19-29,Normally,4,3,4,5,5,2,4,4,4,3,5,4,5,3,4,2,4,2,5,3,4,4,4,4,3,5
Customer 301,Male,Post Graduate,Student,19-29,Very Often,4,1,4,4,2,5,2,2,3,3,5,2,3,2,5,1,2,1,5,3,2,2,5,3,4,2
Customer 302,Female,Under Graduate,Student,19-29,Regularly,5,3,3,4,4,4,3,5,4,4,3,3,3,3,3,2,3,3,4,3,4,4,3,3,3,3
Customer 303,Female,High School,Student,Less than 18,Normally,3,3,4,4,3,2,3,3,3,3,4,3,4,4,3,2,3,2,4,4,3,4,4,4,4,3
Customer 304,Male,Under Graduate,Professionally employed,30-39,Normally,4,3,4,5,4,4,2,1,4,4,4,4,2,2,3,4,2,1,2,1,4,2,5,5,5,3
Customer 305,Female,Under Graduate,Housewife,30-39,Regularly,4,3,4,4,3,3,4,4,4,3,3,3,4,4,4,2,4,2,4,4,4,4,4,4,4,4
Customer 306,Male,PhD,Professionally employed,50 and above,Regularly,5,5,5,5,4,5,5,5,4,4,5,1,5,5,5,4,5,4,5,4,5,5,5,5,4,5
Customer 307,Female,Post Graduate,Professionally employed,19-29,Regularly,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5
Customer 308,Male,Option 5,Student,Less than 18,Rarely,3,4,3,4,1,3,4,2,2,2,4,3,4,2,4,4,2,1,4,3,4,5,1,2,1,4
Customer 309,Male,Post Graduate,Professionally employed,50 and above,Normally,5,5,5,5,5,5,3,3,1,3,5,5,5,5,5,1,3,1,5,5,5,5,5,5,5,1
Customer 310,Female,Post Graduate,Business,40- 49,Normally,5,4,4,4,5,4,4,3,3,4,4,3,4,4,4,4,4,4,5,4,4,4,3,4,4,3
Customer 311,Female,Under Graduate,Student,19-29,Normally,4,2,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,5,4,4,4,5,5,4,4
Customer 312,Female,Post Graduate,Housewife,40- 49,Rarely,5,5,5,5,3,1,1,1,1,3,5,5,5,3,1,1,1,1,5,5,5,5,5,3,5,1
Customer 313,Male,Post Graduate,Professionally employed,50 and above,Normally,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Customer 314,Female,Under Graduate,Professionally employed,19-29,Very Often,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,4,4,5
Customer 315,Female,High School,Student,Less than 18,Regularly,5,4,5,5,4,4,4,3,3,4,4,4,4,4,4,3,3,3,4,4,3,4,5,4,4,5
Customer 316,Female,Under Graduate,Student,19-29,Rarely,3,2,4,4,3,4,3,3,3,3,4,3,4,4,2,3,3,2,4,4,4,4,4,3,2,1
Customer 317,Male,Post Graduate,Professionally employed,30-39,Very Often,4,4,4,4,3,4,4,2,3,2,4,4,4,2,2,4,2,1,4,3,5,5,3,2,2,3
Customer 318,Female,Under Graduate,Student,19-29,Normally,3,3,3,4,3,4,3,4,4,4,4,4,4,3,3,2,3,3,3,4,4,4,4,4,4,3
Customer 319,Female,Under Graduate,Student,19-29,Normally,4,4,4,4,3,3,2,3,3,3,3,3,4,4,3,2,4,1,4,3,4,4,5,5,5,2
Customer 320,Male,Under Graduate,Student,19-29,Normally,4,4,2,5,4,5,5,3,5,5,5,4,5,5,5,5,1,1,3,3,5,2,2,4,2,1
Customer 321,Male,Under Graduate,Business,50 and above,Regularly,4,2,3,2,4,1,5,2,3,5,4,3,4,3,3,1,4,1,4,3,4,3,2,4,4,2
Customer 322,Female,Under Graduate,Student,19-29,Extremely rare,3,4,4,3,4,3,3,4,2,3,4,4,2,4,2,3,5,5,5,4,5,4,3,5,2,2
Customer 323,Female,Under Graduate,Student,19-29,Very Often,3,2,3,4,2,1,2,2,4,2,4,3,4,2,2,1,2,2,3,3,4,5,4,3,4,3
Customer 324,Male,Under Graduate,Student,19-29,Rarely,3,1,5,4,3,5,1,1,2,4,3,4,4,5,3,2,4,2,2,3,4,4,4,4,4,3
Customer 325,Female,Under Graduate,Student,19-29,Normally,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3
Customer 326,Female,Under Graduate,Student,19-29,Normally,3,2,3,4,3,4,4,4,4,3,4,4,4,3,2,2,2,1,4,4,3,4,4,4,3,2
Customer 327,Female,Post Graduate,Business,40- 49,Normally,3,3,4,4,4,4,3,4,4,3,4,3,4,2,2,3,4,3,4,4,4,4,4,4,3,4
Customer 328,Female,Under Graduate,Student,19-29,Regularly,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4
Customer 329,Male,High School,Student,19-29,Normally,4,2,4,3,4,3,3,3,2,2,3,4,4,3,4,2,4,2,5,4,5,5,5,5,4,2
Customer 330,Female,High School,Student,Less than 18,Normally,4,3,4,4,2,4,2,3,2,3,5,4,4,4,3,2,3,2,5,5,5,2,4,4,2,1
Customer 331,Female,PhD,Others,30-39,Normally,5,2,4,5,2,3,4,4,3,3,4,4,2,3,4,1,4,2,4,4,2,4,4,4,4,3
Customer 332,Female,Under Graduate,Student,19-29,Very Often,5,3,4,5,5,1,3,4,5,5,5,3,4,3,4,1,4,2,5,3,4,4,4,3,2,4
Customer 333,Female,Under Graduate,Student,19-29,Rarely,4,2,4,4,3,2,3,4,4,3,4,4,3,4,3,3,3,2,4,4,2,4,4,4,3,3
Customer 334,Female,Post Graduate,Others,40- 49,Rarely,3,4,4,5,5,4,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4
Customer 335,Female,Under Graduate,Student,19-29,Normally,5,4,4,5,4,5,5,4,3,4,4,4,4,3,3,4,4,2,3,3,4,4,4,4,4,4
Customer 336,Female,Under Graduate,Student,19-29,Regularly,5,2,5,4,2,4,3,4,3,4,4,3,4,2,3,1,3,2,4,3,2,3,4,3,4,3
Customer 337,Female,Post Graduate,Others,19-29,Regularly,4,3,5,5,5,4,3,3,4,3,4,3,4,3,2,3,3,2,4,3,4,3,4,3,4,3
Customer 338,Male,High School,Business,50 and above,Extremely rare,2,3,3,3,3,3,3,2,3,2,4,2,2,3,2,1,3,2,3,4,1,2,2,1,2,2
Customer 339,Male,PhD,Professionally employed,50 and above,Regularly,5,3,5,5,2,2,4,5,5,2,4,4,4,2,2,2,4,1,4,2,5,3,4,5,3,3
Customer 340,Male,PhD,Professionally employed,50 and above,Regularly,5,2,5,4,2,2,3,5,4,2,5,2,4,2,2,1,4,2,2,2,4,2,5,4,4,3
Customer 341,Female,Under Graduate,Student,19-29,Very Often,5,1,1,1,1,5,1,1,5,5,3,3,3,3,5,1,5,3,3,3,1,1,3,3,4,2
Customer 342,Female,Post Graduate,Professionally employed,19-29,Very Often,5,1,1,1,1,3,5,2,4,2,3,1,1,1,2,3,5,5,5,1,3,5,1,1,4,4
Customer 343,Male,Under Graduate,Student,19-29,Very Often,4,4,4,4,5,4,2,1,3,3,3,3,3,3,3,3,5,5,5,1,1,1,5,5,5,2
Customer 344,Male,Under Graduate,Student,19-29,Very Often,5,3,1,1,5,2,4,2,4,2,1,5,5,4,2,2,4,4,4,2,2,4,1,1,5,4
Customer 345,Male,Under Graduate,Student,19-29,Very Often,2,3,1,4,2,5,2,2,4,4,5,1,1,2,2,2,4,4,5,1,2,1,2,3,3,3
Customer 346,Female,Post Graduate,Student,19-29,Normally,3,1,4,5,4,2,2,2,4,2,5,4,5,5,2,3,3,1,5,4,5,5,5,5,5,3
Customer 347,Female,Under Graduate,Student,19-29,Rarely,3,2,2,4,5,4,3,4,3,4,3,2,4,4,3,1,4,2,4,4,3,2,2,2,2,3
Customer 348,Male,Under Graduate,Student,19-29,Rarely,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Customer 349,Male,Under Graduate,Student,19-29,Normally,4,1,5,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
Customer 350,Male,Under Graduate,Student,19-29,Normally,4,1,5,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
Customer 351,Female,PhD,Student,19-29,Normally,5,2,3,4,3,4,4,4,1,1,4,5,5,4,4,5,4,1,1,2,2,2,3,3,3,4
Customer 352,Female,Under Graduate,Student,19-29,Rarely,4,5,2,5,5,4,4,3,4,3,4,4,4,3,4,2,3,2,4,3,4,4,2,1,1,4
Customer 353,Female,Option 5,Professionally employed,19-29,Very Often,5,3,1,4,3,5,3,3,3,5,4,5,5,5,5,4,3,3,5,3,5,5,3,4,4,4
Customer 354,Female,Option 5,Professionally employed,19-29,Very Often,5,3,1,4,3,5,3,3,3,5,4,5,5,5,5,4,3,3,5,3,5,5,3,4,4,4
Customer 355,Female,Under Graduate,Student,19-29,Rarely,3,4,4,3,5,2,2,3,4,2,4,3,4,3,2,3,3,3,4,3,4,4,4,4,4,3
Customer 356,Female,Under Graduate,Student,19-29,Very Often,3,2,5,3,4,5,4,3,3,4,4,3,4,5,4,1,3,1,3,3,4,4,4,3,3,3
Customer 357,Female,Under Graduate,Others,19-29,Normally,4,3,3,4,3,4,4,3,3,3,4,3,4,3,3,4,4,3,4,3,3,2,2,2,3,4
Customer 358,Female,Under Graduate,Student,19-29,Normally,3,4,4,4,4,4,3,4,4,3,4,4,5,5,4,4,3,3,4,4,4,4,5,5,3,4
Customer 359,Female,Option 5,Student,19-29,Regularly,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,4,4,5,4,4,4,4,3,3,3
Customer 360,Male,Under Graduate,Business,30-39,Normally,5,1,5,3,5,1,3,1,1,5,5,5,5,3,5,1,1,1,5,5,5,5,5,5,5,1
Customer 361,Female,Under Graduate,Student,19-29,Very Often,5,2,3,1,2,2,2,3,4,2,4,2,2,4,2,1,2,1,4,3,5,5,5,5,4,4
Customer 362,Female,Option 5,Housewife,50 and above,Normally,5,3,5,5,4,4,2,3,2,2,4,4,4,3,4,2,4,2,4,4,3,4,4,4,4,5
Customer 363,Male,Post Graduate,Professionally employed,50 and above,Normally,4,2,4,4,4,2,2,1,2,2,2,4,4,2,2,1,1,1,4,4,2,4,5,5,5,2
Customer 364,Male,High School,Student,Less than 18,Regularly,5,3,5,5,4,4,4,3,5,4,5,4,5,4,4,3,4,3,5,5,5,5,5,4,4,3
Customer 365,Female,Under Graduate,Student,19-29,Normally,3,2,3,4,2,3,4,4,4,3,4,3,4,3,3,1,4,1,5,3,4,4,4,5,4,3
Customer 366,Female,Under Graduate,Student,19-29,Regularly,4,4,4,5,3,5,4,4,4,3,1,5,5,3,4,2,4,2,3,4,4,3,5,4,4,5
Customer 367,Male,Under Graduate,Student,19-29,Normally,2,2,4,4,3,4,4,3,3,4,4,4,4,3,4,2,3,2,4,4,3,4,3,3,4,3
Customer 368,Male,Under Graduate,Student,19-29,Normally,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4
Customer 369,Male,Under Graduate,Student,19-29,Normally,3,4,4,4,5,5,5,5,3,3,5,4,5,5,4,1,4,2,5,5,4,5,4,4,4,3
Customer 370,Male,Under Graduate,Student,19-29,Regularly,4,4,1,1,4,4,4,4,3,3,4,3,4,4,4,3,3,3,4,3,4,4,4,4,3,3
Customer 371,Male,Under Graduate,Professionally employed,19-29,Regularly,5,4,4,5,5,4,5,4,5,4,5,4,5,4,4,3,4,4,5,5,5,5,5,5,5,5
Customer 372,Female,Post Graduate,Student,19-29,Normally,4,2,3,4,2,4,3,4,3,3,4,3,4,3,3,1,4,2,3,3,3,3,5,3,2,2
Customer 373,Male,Under Graduate,Student,19-29,Very Often,5,1,1,1,4,5,1,4,4,3,4,4,4,3,4,1,4,3,4,4,4,4,3,3,3,4
Customer 374,Male,Under Graduate,Student,19-29,Normally,5,2,5,5,5,5,2,2,5,2,5,3,5,1,3,1,3,1,4,4,2,4,4,4,4,4
Customer 375,Female,Under Graduate,Student,19-29,Rarely,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4
Customer 376,Male,High School,Student,Less than 18,Normally,3,4,3,5,3,3,2,3,3,3,4,4,4,2,2,3,3,3,5,4,4,4,4,4,4,3
Customer 377,Male,Post Graduate,Professionally employed,50 and above,Regularly,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,2,2,4,4,4,3,4,4,3,2
Customer 378,Female,Under Graduate,Student,19-29,Regularly,3,4,4,4,3,4,3,3,2,2,4,4,5,3,3,1,3,3,4,3,4,2,5,3,4,4
Customer 379,Male,High School,Others,30-39,Very Often,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,4,3,4,4,4,4,4,4,4,4,4
Customer 380,Male,Post Graduate,Business,50 and above,Normally,3,2,4,4,4,3,3,3,3,4,4,4,3,4,3,2,3,2,3,4,3,5,3,4,5,2
Customer 381,Male,Under Graduate,Student,19-29,Normally,4,3,4,4,4,3,3,4,4,3,4,4,5,2,2,2,4,1,4,4,5,5,1,3,2,3
Customer 382,Male,Under Graduate,Business,30-39,Rarely,1,2,1,5,5,1,5,5,1,1,1,5,5,5,5,1,5,5,5,1,1,1,5,5,5,5
Customer 383,Female,Under Graduate,Housewife,40- 49,Normally,4,3,4,4,3,3,3,3,4,2,4,4,5,3,4,2,3,2,5,5,4,4,4,3,4,2
Customer 384,Male,Post Graduate,Professionally employed,50 and above,Normally,5,4,4,3,3,3,3,2,2,2,4,4,4,3,4,1,3,3,5,3,4,5,4,4,4,3
Customer 385,Male,Under Graduate,Student,19-29,Normally,2,2,3,4,3,4,4,3,3,4,4,4,4,3,2,2,1,1,2,1,2,2,3,3,2,2
Customer 386,Female,PhD,Others,40- 49,Normally,3,4,2,3,3,2,3,3,4,4,4,4,4,4,4,3,2,3,3,3,2,2,3,3,3,2
Customer 387,Male,PhD,Business,50 and above,Normally,5,5,5,5,5,1,5,5,1,1,5,4,5,5,5,4,4,5,4,5,4,5,5,4,5,5
Customer 388,Female,Under Graduate,Student,19-29,Regularly,5,1,5,3,5,5,4,4,4,4,4,4,4,4,4,3,2,2,2,2,4,4,4,4,4,4
Customer 389,Female,PhD,Professionally employed,30-39,Normally,4,2,4,5,3,4,4,4,4,2,4,4,5,2,4,2,3,2,5,4,5,5,5,4,4,3
Customer 390,Female,Under Graduate,Student,19-29,Regularly,5,1,5,3,5,5,4,4,4,4,4,4,4,4,4,3,2,2,2,2,4,4,4,4,4,4
Customer 391,Female,Option 5,Student,Less than 18,Rarely,2,2,3,3,5,3,1,3,3,3,3,3,3,2,1,1,3,1,3,3,1,3,3,2,1,3
Customer 392,Male,Under Graduate,Student,19-29,Normally,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Customer 393,Male,Option 5,Business,40- 49,Rarely,4,2,4,4,3,3,3,2,3,4,4,4,4,4,4,1,1,1,2,2,2,2,2,2,2,2
Customer 394,Male,Under Graduate,Student,19-29,Very Often,4,1,5,5,4,5,4,4,3,4,4,3,4,4,4,2,3,2,4,3,4,3,3,3,3,2
Customer 395,Male,High School,Business,50 and above,Normally,3,2,4,4,4,3,3,4,3,3,3,4,3,4,4,1,3,1,2,2,3,3,2,2,2,2
Customer 396,Male,Under Graduate,Student,19-29,Normally,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Customer 397,Male,Post Graduate,Student,19-29,Regularly,4,3,4,5,4,5,5,5,4,3,3,3,4,3,3,2,3,2,2,2,2,2,3,3,4,3
Customer 398,Male,Option 5,Professionally employed,19-29,Rarely,5,3,3,4,3,3,4,4,4,4,4,4,4,5,5,2,4,2,1,1,1,1,1,1,3,1
Customer 399,Male,Under Graduate,Student,19-29,Regularly,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,3,2,2,2,1
Customer 400,Female,Post Graduate,Professionally employed,40- 49,Regularly,5,5,5,3,4,2,3,4,4,2,4,4,4,4,4,2,3,2,4,4,4,4,4,4,2,2
Customer 401,Male,High School,Student,Less than 18,Normally,5,5,5,5,5,5,4,4,4,4,5,3,4,4,4,4,4,2,4,3,4,4,3,4,2,4
Customer 402,Female,Under Graduate,Housewife,40- 49,Regularly,4,1,4,4,5,4,3,3,1,1,4,4,5,3,3,3,3,3,4,4,4,4,4,4,4,3
Customer 403,Male,Under Graduate,Student,19-29,Regularly,4,1,4,4,5,4,3,3,1,1,4,4,5,3,3,3,3,3,4,4,4,4,4,4,4,3
Customer 404,Male,Under Graduate,Student,19-29,Normally,5,2,4,5,4,5,4,3,5,4,5,4,5,3,3,1,3,2,3,3,4,4,5,5,5,4
Customer 405,Female,Under Graduate,Housewife,40- 49,Rarely,2,3,3,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,4,4,4,3,2,2,2,2
Customer 406,Male,High School,Student,Less than 18,Regularly,2,2,3,4,2,4,4,4,4,3,3,5,4,3,3,1,2,2,2,2,2,2,2,2,3,5
Customer 407,Female,Under Graduate,Student,19-29,Very Often,5,1,3,1,1,5,1,3,3,4,4,1,3,3,2,3,3,3,1,5,2,3,3,3,3,3
Customer 408,Female,Under Graduate,Housewife,40- 49,Rarely,2,3,3,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,4,4,4,3,2,2,2,2
Customer 409,Male,Under Graduate,Student,19-29,Very Often,5,3,4,2,2,1,2,1,2,2,3,4,4,2,4,2,2,2,3,3,3,4,5,4,4,4
Customer 410,Female,Post Graduate,Professionally employed,40- 49,Regularly,5,5,5,3,4,2,3,4,4,2,4,4,4,4,4,2,3,2,4,4,4,4,4,4,2,2
Customer 411,Female,Under Graduate,Student,19-29,Regularly,5,4,4,5,4,4,4,3,4,2,4,4,5,3,4,4,4,2,4,4,4,4,5,4,4,5
Customer 412,Male,Post Graduate,Business,40- 49,Normally,5,2,4,5,4,4,2,4,4,2,5,4,4,4,4,1,2,1,4,4,4,4,4,4,4,2
Customer 413,Male,Under Graduate,Student,19-29,Normally,3,2,4,4,3,4,4,4,4,4,5,5,5,4,4,3,4,3,4,3,4,4,3,3,3,3
Customer 414,Male,Post Graduate,Professionally employed,40- 49,Rarely,1,1,2,4,2,2,2,5,4,2,3,5,5,3,2,2,2,2,3,3,3,3,2,3,3,3
Customer 415,Male,Under Graduate,Professionally employed,50 and above,Extremely rare,1,1,2,3,2,2,2,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1
Customer 416,Female,Under Graduate,Student,19-29,Normally,4,3,5,4,4,5,4,2,3,4,4,4,5,5,4,2,4,2,4,4,2,4,2,2,2,4
Customer 417,Male,Under Graduate,Student,19-29,Very Often,5,1,1,1,3,5,5,3,4,4,4,3,4,4,2,2,3,2,2,3,2,3,2,2,2,3
Customer 418,Male,Option 5,Student,19-29,Regularly,4,1,3,5,3,5,4,3,3,3,3,3,4,4,4,1,4,2,1,1,1,1,1,3,1,3
Customer 419,Male,Under Graduate,Student,19-29,Regularly,5,3,4,3,3,5,4,3,4,4,3,3,5,4,2,1,3,1,5,5,2,2,4,3,4,2
Customer 420,Male,Post Graduate,Professionally employed,30-39,Normally,4,3,4,5,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5
Customer 421,Female,Under Graduate,Housewife,30-39,Normally,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5
Customer 422,Male,High School,Student,19-29,Normally,4,4,4,5,4,4,4,4,4,4,4,4,5,4,5,3,3,4,4,4,3,3,3,4,4,5
Customer 423,Female,Under Graduate,Housewife,30-39,Normally,4,4,4,5,4,5,4,4,3,4,4,4,4,4,4,3,3,4,5,4,4,4,4,4,4,5
Customer 424,Male,High School,Student,19-29,Normally,4,4,4,4,4,4,4,3,3,4,4,5,5,3,5,3,4,2,4,4,4,4,4,4,4,4
Customer 425,Male,Under Graduate,Student,19-29,Normally,5,3,4,5,4,4,4,5,5,4,5,4,5,2,2,2,3,1,5,5,4,4,2,4,4,4
Customer 426,Male,Under Graduate,Student,19-29,Regularly,5,2,5,5,4,2,5,3,4,4,5,5,5,4,4,2,5,2,5,5,5,5,4,5,4,2
Customer 427,Male,High School,Student,Less than 18,Regularly,5,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5,4,5,4,5,5,3,4,4,3,4
Customer 428,Male,Post Graduate,Business,40- 49,Normally,5,1,5,4,5,5,3,5,5,4,5,5,5,4,4,3,5,5,5,4,4,5,4,5,3,2
Customer 429,Male,Under Graduate,Student,19-29,Rarely,4,3,4,5,4,2,3,3,4,2,5,4,5,3,4,1,4,2,4,3,4,3,4,4,4,3
Customer 430,Male,Under Graduate,Student,19-29,Extremely rare,4,2,4,4,3,3,3,3,4,4,4,4,4,4,3,2,2,1,2,3,2,4,4,4,3,2
Customer 431,Male,Under Graduate,Professionally employed,30-39,Very Often,5,4,5,5,3,5,5,5,4,5,5,4,5,3,5,1,5,2,5,4,4,3,4,3,4,5
Customer 432,Male,Under Graduate,Student,19-29,Normally,4,3,4,5,4,3,3,4,4,4,4,5,4,4,4,3,3,4,4,4,4,4,4,4,4,4
Customer 433,Female,High School,Housewife,40- 49,Extremely rare,4,4,5,4,4,4,5,4,5,4,4,5,5,3,5,1,4,2,4,4,4,3,1,4,3,4
Customer 434,Female,Under Graduate,Student,19-29,Regularly,4,3,5,3,4,5,3,3,4,5,5,5,4,3,4,2,2,2,3,3,5,3,5,3,5,3
Customer 435,Male,Under Graduate,Professionally employed,30-39,Very Often,5,2,5,5,4,5,4,4,4,3,4,4,4,4,4,1,4,2,4,4,4,4,4,4,4,2
Customer 436,Male,High School,Professionally employed,50 and above,Extremely rare,5,4,4,4,5,4,4,5,5,4,5,4,5,4,4,3,4,2,4,5,4,4,3,4,1,4
Customer 437,Male,Under Graduate,Student,19-29,Very Often,5,1,1,1,1,5,1,1,5,5,5,1,1,1,1,5,1,1,1,5,5,5,5,1,1,1
Customer 438,Male,Under Graduate,Student,19-29,Normally,3,1,4,5,2,3,4,3,4,4,5,1,2,3,4,1,5,5,4,1,2,4,2,3,2,5
Customer 439,Female,Post Graduate,Professionally employed,40- 49,Very Often,5,2,4,1,2,4,4,4,5,5,5,4,1,1,1,3,3,3,4,3,4,4,4,1,4,3
Customer 440,Male,High School,Student,Less than 18,Normally,4,4,4,5,5,5,5,5,5,5,5,1,5,5,3,4,2,3,5,4,2,4,2,3,3,1
Customer 441,Female,Option 5,Professionally employed,19-29,Rarely,4,4,4,4,1,4,4,4,4,4,4,3,4,2,2,2,4,2,4,4,3,3,3,3,3,3
Customer 442,Female,Post Graduate,Student,19-29,Very Often,3,2,4,5,4,5,4,3,4,3,5,5,4,4,4,5,3,2,3,3,2,2,2,2,2,5
Customer 443,Female,Under Graduate,Student,19-29,Very Often,5,1,1,1,1,5,1,1,5,5,5,1,1,1,1,5,1,1,1,5,5,5,1,1,1,1
Customer 444,Female,Post Graduate,Housewife,19-29,Normally,4,2,3,4,3,5,4,4,2,4,4,5,4,4,3,3,4,4,1,2,2,2,3,1,2,5
Customer 445,Female,Under Graduate,Student,19-29,Normally,3,3,4,4,3,4,4,4,3,4,3,4,5,4,3,4,4,3,4,4,3,3,2,4,4,4
Customer 446,Female,Post Graduate,Student,19-29,Very Often,3,2,4,5,4,5,4,3,4,3,5,5,4,4,4,5,3,2,3,3,2,2,2,2,2,5
Customer 447,Female,Under Graduate,Student,19-29,Normally,5,3,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,2,4,3,3,4,4,4,4,4
Customer 448,Female,Post Graduate,Professionally employed,40- 49,Regularly,5,5,5,3,4,2,3,4,4,2,4,4,4,4,4,2,3,2,4,4,4,4,4,4,2,2
Customer 449,Female,Under Graduate,Student,19-29,Normally,5,1,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,3,5
Customer 450,Male,Under Graduate,Business,19-29,Extremely rare,4,4,4,4,3,3,4,4,3,3,3,2,4,3,2,3,1,2,3,3,3,3,3,1,1,3
Customer 451,Male,Under Graduate,Professionally employed,19-29,Regularly,4,2,5,5,5,5,4,4,5,4,5,4,5,4,4,3,4,3,4,4,4,4,3,4,4,3
Customer 452,Female,Post Graduate,Others,50 and above,Normally,4,5,5,5,5,1,5,3,3,3,5,2,4,4,4,4,5,1,3,3,3,3,4,4,4,3
Customer 453,Male,Post Graduate,Student,19-29,Very Often,5,3,5,4,4,5,5,5,4,5,4,5,4,3,3,4,4,3,3,3,3,3,2,2,2,2
Customer 454,Male,Option 5,Student,Less than 18,Very Often,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,4,4,3,4,4,5,4,4,4,4,5